,index,Title,imdbRating
520,793,The Deep End of the Ocean,6.4
522,797,Flowers in the Attic,5.7
523,798,Maniac Magee,5.0
524,800,Twelfth Night or What You Will,7.3
525,802,The Westing Game,5.4
526,803,Red Rising,7.6
527,808,Guess How Much I Love You: The Adventures of Little Nutbrown Hare,7.7
528,810,Night Shift,6.5
529,811,Jaws,8.0
530,812,The History of Love,6.4
532,819,Brain on Fire,6.6
533,821,Curious George,6.5
534,822,60 Millionen für Phantásien - Wie die 'unendliche Geschichte' ins Kino kam,9.2
535,823,A Beautiful Mind,8.2
536,824,The Jungle,4.0
537,825,The Summoning,4.6
538,828,The Blind Assassin,7.4
539,829,Hollow City,7.1
540,830,House of Sand and Fog,7.6
541,831,The Girl with All the Gifts,6.7
542,832,As I Lay Dying,5.4
543,833,Harold and the Purple Crayon,7.4
544,835,Fool Moon,5.3
545,836,David and Goliath,4.7
546,837,Kill Bill: Vol. 1,8.1
547,840,We Need to Talk About Kevin,7.5
548,841,Rendezvous with Rama,6.3
549,843,The Age of Innocence,7.2
550,847,Anthem,7.3
551,849,Cloudy with a Chance of Meatballs,7.0
552,852,The Tenth Circle,5.9
553,853,The Throne of Fire,3.4
554,855,Gerald's Game,6.6
556,858,Insomnia,7.2
557,862,The Shipping News,6.8
561,873,Olive Kitteridge,8.3
563,876,Fire,7.3
564,877,White Fang,6.7
565,880,The Edge of Never,7.3
566,883,The Hours,7.6
569,886,Desperation,5.3
570,887,Passion,5.3
571,890,Empire Falls,7.4
572,893,Survivor,5.6
573,895,The Dark Tower,5.7
574,899,Linger,4.9
575,900,A Portrait of the Artist as a Young Man,6.4
576,901,The Gathering Storm,7.6
577,902,Middlemarch,7.7
578,904,Thoughtless,6.9
579,905,The Dark Half,5.9
581,911,The Man in the High Castle,8.1
582,916,Blue Bloods,7.5
583,917,The Alienist,7.8
584,919,Paradise Lost,5.2
585,921,A Monster Calls,7.5
586,923,The Day of the Jackal,7.8
588,925,Attachments,7.9
589,927,All Creatures Great and Small,8.3
590,929,The Scarlet Pimpernel,7.7
591,934,Champion,7.4
592,935,Contact,7.4
593,937,White Teeth,7.4
594,940,Connected: The Power of Six Degrees,7.6
595,941,The Interestings,7.1
596,945,The Surgeon,4.9
597,948,Childhood's End,6.9
598,949,The Making of 'The Tale of Despereaux',6.4
599,959,A Moveable Feast with Fine Cooking,6.6
601,964,My Effortless Brilliance,5.5
602,965,The Street Lawyer,7.5
603,966,"Roll of Thunder, Hear My Cry",5.5
604,967,Pride and Prejudice and Zombies,5.8
605,970,Dirk Gently's Holistic Detective Agency,8.4
606,971,Diary of a Wimpy Kid: Rodrick Rules,6.6
607,972,Why Not Me?,6.7
608,974,Modern Romance,7.0
609,980,Handle with Care,6.9
610,982,Midnight's Children,6.2
611,984,Agatha Christie's Miss Marple: The Murder at the Vicarage,7.5
612,989,The Woman in White,6.6
